               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10395,            0.051434,            0.033218,             0.39864,            0.062016,            0.039751,             0.01102,             0.08161,            0.038017,            0.020663,            0.070811,           0.0032432,           0.0032432
                   1,            0.077133,            0.051017,            0.020954,             0.74113,             0.14606,            0.062955,            0.020833,            0.082305,            0.028568,            0.016186,            0.040746,           0.0065115,           0.0065115
                   2,              0.0729,            0.041169,            0.018599,             0.75656,             0.19525,            0.084884,            0.027341,             0.07469,            0.023358,            0.014661,            0.010615,           0.0097137,           0.0097137
                   3,            0.067752,            0.038215,            0.018258,             0.78906,             0.18189,             0.17172,             0.06121,            0.069493,            0.023603,            0.012956,            0.009703,            0.009703,            0.009703
                   4,            0.060074,            0.035126,            0.017075,             0.52573,             0.41193,             0.26791,             0.10731,            0.063614,            0.025394,            0.011506,            0.009703,            0.009703,            0.009703
                   5,            0.056277,            0.034362,            0.014667,             0.67937,             0.44372,             0.45087,             0.17518,            0.052106,            0.022267,           0.0097941,            0.009604,            0.009604,            0.009604
                   6,            0.050992,            0.031414,            0.012721,             0.68886,             0.47828,             0.45692,             0.19121,             0.04658,            0.021682,           0.0086542,            0.009505,            0.009505,            0.009505
                   7,            0.048988,             0.03192,            0.011849,             0.74222,             0.45019,             0.46673,             0.20949,            0.040953,            0.020722,           0.0091809,            0.009406,            0.009406,            0.009406
                   8,            0.046425,            0.030505,            0.010288,             0.74115,             0.49832,             0.50966,             0.23487,            0.042438,            0.020145,           0.0076024,            0.009307,            0.009307,            0.009307
                   9,            0.045278,            0.030769,           0.0096422,             0.81442,             0.48981,             0.60581,             0.31328,            0.038232,            0.020146,           0.0074409,            0.009208,            0.009208,            0.009208
                  10,            0.043013,            0.033923,           0.0089636,             0.86872,             0.50056,             0.63692,              0.3219,            0.041121,            0.019506,           0.0073967,            0.009109,            0.009109,            0.009109
                  11,            0.042474,            0.033485,           0.0087789,             0.91664,             0.51918,             0.69963,             0.36684,            0.037107,             0.01949,            0.006391,             0.00901,             0.00901,             0.00901
                  12,            0.041621,            0.029945,           0.0084354,             0.92303,             0.49653,             0.67181,             0.35393,            0.038803,            0.019544,           0.0063804,            0.008911,            0.008911,            0.008911
                  13,            0.038978,            0.030439,           0.0083263,             0.85064,             0.53685,             0.66862,             0.33422,            0.037215,            0.019431,           0.0068807,            0.008812,            0.008812,            0.008812
                  14,            0.039025,            0.030875,            0.008321,             0.89042,             0.52973,             0.66124,             0.34301,            0.038867,            0.019626,           0.0064875,            0.008713,            0.008713,            0.008713
                  15,            0.037904,            0.027517,           0.0078138,             0.91128,             0.53167,             0.65419,             0.34606,            0.035933,            0.019403,           0.0062798,            0.008614,            0.008614,            0.008614
                  16,            0.036527,            0.028053,           0.0073125,             0.90236,             0.53702,             0.69179,             0.36056,             0.03525,            0.019183,           0.0058727,            0.008515,            0.008515,            0.008515
                  17,            0.035735,            0.030572,           0.0065428,             0.90379,              0.5018,             0.70446,             0.37857,            0.034742,            0.018984,           0.0058205,            0.008416,            0.008416,            0.008416
                  18,            0.036391,            0.028325,           0.0074886,             0.93812,             0.51437,             0.67063,             0.36638,            0.034936,             0.01912,           0.0058136,            0.008317,            0.008317,            0.008317
                  19,            0.035424,            0.028184,           0.0073924,             0.90028,             0.53824,               0.706,             0.34697,            0.035478,            0.019429,           0.0055515,            0.008218,            0.008218,            0.008218
                  20,             0.03604,            0.028256,           0.0070488,              0.9026,             0.55828,             0.67674,             0.36714,            0.037048,            0.019531,           0.0049552,            0.008119,            0.008119,            0.008119
                  21,            0.033714,            0.027133,           0.0065386,             0.89973,             0.55337,             0.71979,             0.40124,            0.031858,            0.018539,           0.0058862,             0.00802,             0.00802,             0.00802
                  22,             0.03388,            0.027931,           0.0067342,             0.91235,             0.54234,             0.73196,              0.3947,            0.034823,            0.019019,           0.0058911,            0.007921,            0.007921,            0.007921
                  23,            0.034399,            0.028474,           0.0065129,             0.92312,             0.53317,             0.73167,             0.43974,            0.031476,            0.018765,           0.0051168,            0.007822,            0.007822,            0.007822
                  24,            0.033611,            0.028786,           0.0058627,             0.67272,             0.68616,             0.73261,             0.43479,            0.032122,            0.018631,           0.0051039,            0.007723,            0.007723,            0.007723
                  25,            0.033159,            0.026265,           0.0060794,             0.60849,             0.68902,             0.74771,             0.43502,            0.030675,            0.018828,           0.0057343,            0.007624,            0.007624,            0.007624
                  26,            0.032755,            0.026662,            0.006413,             0.69603,             0.73489,             0.79515,             0.47285,            0.031943,            0.018958,           0.0048247,            0.007525,            0.007525,            0.007525
                  27,             0.03213,             0.02654,            0.005468,             0.72994,             0.70525,              0.7942,             0.47567,            0.030769,            0.018668,           0.0044726,            0.007426,            0.007426,            0.007426
                  28,            0.031967,             0.02653,           0.0057744,             0.62446,              0.7156,             0.75552,             0.46001,            0.031159,            0.018621,           0.0044525,            0.007327,            0.007327,            0.007327
                  29,            0.030588,            0.025693,           0.0056622,             0.70234,              0.7219,             0.76798,             0.45487,            0.030817,             0.01906,           0.0048902,            0.007228,            0.007228,            0.007228
                  30,            0.032217,            0.026877,           0.0054983,             0.65397,             0.73211,             0.75975,             0.43657,            0.030332,             0.01874,           0.0047195,            0.007129,            0.007129,            0.007129
                  31,            0.031023,            0.026633,           0.0051139,             0.80812,             0.67081,             0.76927,             0.46495,            0.030345,            0.018047,           0.0048184,             0.00703,             0.00703,             0.00703
                  32,            0.030635,            0.025691,           0.0052889,             0.76508,              0.7092,              0.7706,             0.46789,             0.02987,            0.018583,           0.0050121,            0.006931,            0.006931,            0.006931
                  33,             0.03058,            0.023483,             0.00543,              0.8295,              0.6543,             0.75906,             0.46855,             0.02948,            0.018109,           0.0049022,            0.006832,            0.006832,            0.006832
                  34,            0.031459,            0.026391,           0.0045272,             0.71672,             0.68476,             0.75726,             0.43192,             0.03074,            0.017824,           0.0043577,            0.006733,            0.006733,            0.006733
                  35,            0.030654,            0.026246,           0.0044955,             0.62518,             0.79404,             0.73867,             0.44492,            0.030258,            0.018774,           0.0046177,            0.006634,            0.006634,            0.006634
                  36,            0.029554,            0.025376,           0.0043975,              0.7308,             0.78811,             0.81714,             0.47883,            0.031109,            0.018458,           0.0046055,            0.006535,            0.006535,            0.006535
                  37,            0.029221,            0.025523,           0.0047177,             0.74181,             0.81624,             0.80206,             0.49624,            0.030572,             0.01796,           0.0044033,            0.006436,            0.006436,            0.006436
                  38,            0.029775,             0.02292,           0.0045692,             0.75841,             0.80941,             0.79779,             0.48681,            0.029955,            0.018679,           0.0049476,            0.006337,            0.006337,            0.006337
                  39,            0.028766,            0.023007,           0.0038985,              0.7774,             0.75829,             0.76237,             0.47281,            0.030305,            0.018552,           0.0048344,            0.006238,            0.006238,            0.006238
                  40,            0.028777,            0.026574,           0.0044532,             0.73135,             0.83015,             0.78716,             0.48935,            0.029065,            0.018089,            0.004737,            0.006139,            0.006139,            0.006139
                  41,            0.029432,            0.024336,           0.0038154,              0.7522,             0.81743,             0.79932,             0.49827,            0.029379,            0.018482,           0.0050021,             0.00604,             0.00604,             0.00604
                  42,            0.028344,            0.023633,           0.0040923,             0.79189,             0.75221,             0.81498,             0.48408,            0.029202,            0.017938,           0.0047534,            0.005941,            0.005941,            0.005941
                  43,            0.028334,            0.025268,           0.0037646,             0.76997,             0.79044,             0.80117,             0.47505,            0.029271,            0.018356,           0.0044727,            0.005842,            0.005842,            0.005842
                  44,             0.02874,            0.025128,           0.0032696,             0.82751,             0.76286,             0.81422,             0.51193,            0.029286,            0.018638,           0.0048221,            0.005743,            0.005743,            0.005743
                  45,              0.0284,            0.026522,           0.0047001,             0.80442,             0.79709,             0.81162,             0.51147,            0.029348,            0.018123,           0.0045198,            0.005644,            0.005644,            0.005644
                  46,            0.028736,            0.024884,           0.0041731,             0.82596,             0.78723,             0.82457,             0.52222,            0.028318,            0.018064,           0.0041205,            0.005545,            0.005545,            0.005545
                  47,            0.026815,            0.021564,           0.0039764,             0.81286,             0.80466,             0.81286,             0.50999,            0.028464,            0.018217,           0.0043821,            0.005446,            0.005446,            0.005446
                  48,             0.02777,            0.025688,           0.0035728,             0.83624,             0.79696,             0.80346,             0.51468,            0.028217,            0.018461,           0.0044943,            0.005347,            0.005347,            0.005347
                  49,            0.026716,            0.022879,           0.0031523,             0.77286,             0.84029,              0.8193,              0.5115,            0.028812,            0.018709,           0.0042865,            0.005248,            0.005248,            0.005248
                  50,            0.026597,            0.024055,           0.0034385,             0.82404,             0.78225,               0.802,             0.50657,            0.029718,            0.018409,           0.0042134,            0.005149,            0.005149,            0.005149
                  51,            0.027186,            0.022558,           0.0033949,             0.81845,             0.81767,             0.79643,             0.50645,            0.028006,            0.018303,           0.0048312,             0.00505,             0.00505,             0.00505
                  52,            0.026662,            0.024498,           0.0036676,             0.82102,             0.79493,             0.82489,             0.53486,            0.029022,            0.018482,           0.0039451,            0.004951,            0.004951,            0.004951
                  53,            0.027611,            0.020927,           0.0035062,             0.83812,             0.81045,             0.85329,             0.53559,            0.027825,             0.01795,           0.0040986,            0.004852,            0.004852,            0.004852
                  54,            0.026868,            0.023609,           0.0035802,             0.78509,             0.84662,             0.86856,             0.54522,            0.027684,            0.018068,           0.0041987,            0.004753,            0.004753,            0.004753
                  55,            0.025709,            0.021227,           0.0023778,             0.78355,             0.84125,             0.81231,             0.52091,            0.028196,            0.018282,           0.0043591,            0.004654,            0.004654,            0.004654
                  56,            0.026096,            0.025266,           0.0024652,              0.8573,             0.83509,             0.86776,             0.55466,            0.028109,            0.018311,           0.0037324,            0.004555,            0.004555,            0.004555
                  57,            0.026113,            0.025123,           0.0028822,             0.89859,             0.77263,              0.8571,             0.54763,            0.027507,            0.018222,           0.0036592,            0.004456,            0.004456,            0.004456
                  58,            0.026349,            0.023177,             0.00279,             0.87207,             0.82623,             0.86461,             0.54953,            0.028012,            0.018413,           0.0038167,            0.004357,            0.004357,            0.004357
                  59,            0.025125,            0.022977,           0.0027404,             0.84315,             0.84186,             0.88566,             0.56013,            0.028084,            0.018294,           0.0038539,            0.004258,            0.004258,            0.004258
                  60,            0.025037,            0.021902,            0.003006,             0.81295,             0.86838,             0.86776,              0.5675,            0.028363,              0.0183,           0.0034325,            0.004159,            0.004159,            0.004159
                  61,             0.02543,            0.023165,           0.0027894,             0.91797,             0.73402,             0.85218,             0.55515,            0.027925,            0.018593,           0.0036207,             0.00406,             0.00406,             0.00406
                  62,            0.024212,            0.023308,            0.002107,             0.85613,             0.77687,             0.84738,             0.53221,              0.0274,            0.018086,           0.0035086,            0.003961,            0.003961,            0.003961
                  63,            0.024794,            0.023563,           0.0022587,             0.83747,              0.8635,             0.88558,             0.57056,            0.027449,            0.018104,           0.0029516,            0.003862,            0.003862,            0.003862
                  64,            0.024708,            0.021118,           0.0026364,             0.86277,             0.81148,             0.86494,             0.56944,            0.027023,            0.018305,           0.0037617,            0.003763,            0.003763,            0.003763
                  65,            0.023938,            0.022428,           0.0023225,             0.88867,             0.79782,             0.83812,             0.52711,            0.028086,            0.018461,           0.0039986,            0.003664,            0.003664,            0.003664
                  66,            0.025181,            0.021803,            0.003132,             0.88637,             0.78386,             0.85427,             0.55764,            0.027437,            0.018385,           0.0034587,            0.003565,            0.003565,            0.003565
                  67,            0.024702,             0.02493,           0.0020202,             0.87405,             0.82503,             0.87541,              0.5663,            0.028047,            0.018621,           0.0033635,            0.003466,            0.003466,            0.003466
                  68,            0.023602,            0.021353,           0.0022043,             0.82726,             0.80995,             0.85995,             0.56588,            0.027547,            0.018367,           0.0036441,            0.003367,            0.003367,            0.003367
                  69,            0.024419,            0.021274,           0.0020716,             0.93384,             0.79101,             0.87244,             0.55538,            0.027747,            0.018917,           0.0032506,            0.003268,            0.003268,            0.003268
                  70,            0.024266,            0.022896,           0.0022011,             0.95496,             0.77553,             0.87372,             0.57283,            0.027726,            0.018735,           0.0030808,            0.003169,            0.003169,            0.003169
                  71,            0.023507,             0.02298,            0.001848,              0.8521,             0.81427,             0.87058,             0.55455,            0.027695,            0.018478,           0.0032275,             0.00307,             0.00307,             0.00307
                  72,            0.023754,            0.023363,           0.0017728,             0.85448,             0.82736,               0.877,             0.55976,            0.027046,            0.018302,           0.0031937,            0.002971,            0.002971,            0.002971
                  73,            0.024076,            0.023071,           0.0019792,             0.90964,             0.82394,             0.88684,             0.58179,            0.026897,            0.018306,           0.0031108,            0.002872,            0.002872,            0.002872
                  74,            0.023839,            0.022867,           0.0020213,             0.94524,             0.78872,             0.88251,             0.57849,            0.026955,            0.018461,           0.0032255,            0.002773,            0.002773,            0.002773
                  75,            0.023699,            0.019984,           0.0020311,             0.84273,             0.83582,             0.86493,             0.56496,             0.02738,             0.01846,           0.0031387,            0.002674,            0.002674,            0.002674
                  76,            0.022574,            0.022337,           0.0017745,             0.86288,             0.82045,              0.8741,             0.57443,            0.027155,            0.018335,           0.0034892,            0.002575,            0.002575,            0.002575
                  77,            0.022737,            0.020709,           0.0020076,             0.86576,             0.83149,             0.87237,             0.57878,            0.026545,             0.01839,           0.0038006,            0.002476,            0.002476,            0.002476
                  78,            0.022752,            0.020372,           0.0018334,              0.8785,             0.82867,             0.87559,             0.57604,             0.02757,            0.018895,           0.0034743,            0.002377,            0.002377,            0.002377
                  79,            0.021877,            0.020357,           0.0014278,             0.92875,             0.79893,             0.87385,             0.56945,             0.02768,            0.019002,           0.0030473,            0.002278,            0.002278,            0.002278
                  80,            0.023105,            0.021569,           0.0014252,             0.88098,             0.78711,             0.87183,             0.57236,            0.027071,            0.018741,            0.003019,            0.002179,            0.002179,            0.002179
                  81,             0.02249,            0.023083,           0.0015208,             0.88731,             0.82276,             0.88117,             0.57691,            0.027307,             0.01874,           0.0027978,             0.00208,             0.00208,             0.00208
                  82,             0.02215,            0.018719,           0.0015637,             0.82751,             0.86401,             0.87741,             0.57708,            0.026818,            0.018795,           0.0029012,            0.001981,            0.001981,            0.001981
                  83,            0.022279,            0.021077,           0.0017557,             0.83595,              0.8098,             0.87339,             0.57639,            0.027254,             0.01863,           0.0034576,            0.001882,            0.001882,            0.001882
                  84,            0.022302,            0.023386,           0.0017724,             0.87228,             0.84123,              0.8784,             0.58425,             0.02638,            0.018393,            0.003302,            0.001783,            0.001783,            0.001783
                  85,            0.021746,            0.021393,           0.0014434,             0.88581,             0.84199,             0.88285,             0.58892,            0.026603,            0.018237,           0.0032438,            0.001684,            0.001684,            0.001684
                  86,            0.021613,            0.020704,           0.0019531,             0.90742,             0.81482,              0.8844,             0.57947,            0.026557,            0.018398,           0.0028572,            0.001585,            0.001585,            0.001585
                  87,            0.021785,            0.020747,           0.0016116,             0.88293,             0.79436,              0.8899,             0.58196,            0.026759,            0.018606,           0.0031216,            0.001486,            0.001486,            0.001486
                  88,            0.021418,            0.019929,           0.0016365,             0.86518,             0.85331,             0.89086,             0.57751,            0.026538,             0.01838,           0.0032366,            0.001387,            0.001387,            0.001387
                  89,            0.022033,            0.020288,           0.0016406,             0.87455,             0.84649,             0.89008,             0.59108,            0.026608,            0.018631,           0.0027667,            0.001288,            0.001288,            0.001288
                  90,            0.020805,            0.019964,           0.0010272,             0.90529,             0.82746,             0.89769,             0.59701,            0.026329,            0.018465,           0.0027296,            0.001189,            0.001189,            0.001189
                  91,            0.021259,            0.019865,           0.0015644,             0.87209,             0.83625,              0.8924,             0.58421,             0.02698,            0.018678,             0.00273,             0.00109,             0.00109,             0.00109
                  92,            0.021054,            0.021542,           0.0013841,             0.86501,             0.84793,             0.88807,             0.58182,             0.02722,            0.018678,           0.0028821,            0.000991,            0.000991,            0.000991
                  93,             0.02085,            0.020578,           0.0011709,              0.8903,             0.81814,             0.88688,             0.58327,            0.027017,            0.018724,           0.0028741,            0.000892,            0.000892,            0.000892
                  94,            0.021654,            0.022845,           0.0013968,             0.87558,             0.83897,             0.88199,             0.58572,            0.026468,            0.018457,           0.0031322,            0.000793,            0.000793,            0.000793
                  95,            0.020841,             0.01887,           0.0014127,             0.92624,             0.84218,             0.89959,              0.5978,            0.026488,            0.018445,           0.0026544,            0.000694,            0.000694,            0.000694
                  96,             0.02107,            0.019605,           0.0014356,             0.90207,             0.84581,             0.90213,             0.59065,            0.026908,            0.018608,           0.0026716,            0.000595,            0.000595,            0.000595
                  97,            0.019683,            0.019549,           0.0013406,             0.90747,             0.82074,             0.90007,             0.60237,            0.026413,            0.018412,           0.0026607,            0.000496,            0.000496,            0.000496
                  98,            0.021459,            0.020187,           0.0015576,               0.934,             0.80634,             0.89238,              0.5907,            0.026876,            0.018608,           0.0027837,            0.000397,            0.000397,            0.000397
                  99,            0.021812,            0.022972,           0.0019056,             0.93629,             0.81064,              0.8908,             0.59112,            0.026761,            0.018558,           0.0028182,            0.000298,            0.000298,            0.000298
